statement_number,speaker,timestamp,statement,speaker_type,night,debate
202,Kornacki,,"But that comes with a flip side, and that is the basement for Trump. Look at this. 37% is the low point he’s hit in his average approval rating is president. That is actually not as low as some of his predecessors have gone. We’ve seen Nixon, Bush Senior, Carter. We saw them fall into the 20s at some point during their term. That has not happened to Trump either. 37 in the low end, 46 on the high end, right now somewhere in between. It’s a very narrow range. It speaks to polarization.",proctor,1,1
203,Kornacki,,"I’ll tell you, it speaks to something else. Is this presidency really any different politically in terms of how it’s being received than the campaign in 2016? Because compare this trendline, 46, 37, low, high. Compare that to Trump’s support against Hillary Clinton in the polls in the fall of 2016. Trump’s average support at a low point, 36%, at a high point, about 43 and a half percent. Of course on election day what was the number he hit? 46%. The same high water mark he’s had in his approval rating. So Trump has been operating in the same range as a candidate, as president. We say it speaks to polarization. It also speaks to, look, this is somebody who succeeded as a candidate in 2016 despite some very, very high negative numbers.",proctor,1,1
204,Kornacki,,"What I mean by that is look at this. The exit poll on election day, do you think Donald Trump’s qualified to be president Only 38% said they thought he was qualified for the job. The clear majority said Trump wasn’t qualified. Does he have the temperament? 35% said he had the temperament. Do you like them? Do you have a favorable view? Only 40% did. You’re not supposed to be able to win with those numbers. Trump was one of the big reasons his opponent, Hillary Clinton, by election day 2016 almost as unpopular as he was, only 43% favorable, it created that narrow path for Trump. And that becomes the question when you look at that approval rating now in 2020. Can he make his opponent as unpopular on election day as Clinton was in ’16?",proctor,1,1
205,Holt,,"Good evening, everyone. Breaking news tonight [crosstalk 00:23:35].",proctor,1,1
206,Speaker 15,,Lester Holt.,proctor,1,1
207,Holt,,"It sounds like a jet airplane up there, but that is fire.",proctor,1,1
208,Holt,,Let’s talk about the Max. How do you convince some skittish passenger to get on this airplane?,proctor,1,1
209,Holt,,We’ve met a lot of great people [crosstalk 00:23:43].,proctor,1,1
210,Speaker 15,,The most trusted TV news anchor in America.,proctor,1,1
211,Holt,,That’s Nightly News. I’m Lester Holt.,proctor,1,1
212,Holt,,And welcome back everyone to the first Democratic presidential debates in the Arsht Center in Miami.,proctor,1,1
213,Guthrie,,"And as we continue the questioning, time to get more members of our team in the mix.",proctor,1,1
214,Jose,,So right now let’s turn it over to Chuck Todd and Rachel Maddow. Take it away.,proctor,1,1
215,Maddow,,"[inaudible 00:24:19]. All right, we’re going to start by recopying the rules. 20 candidates qualified for this first democratic debate. We’re going to hear from 10 tonight, 10 more tomorrow. The breakdown for each night was selected at random. Now the candidates will have 60 seconds to answer, 30 seconds for a followup if necessary, and we will be ruthless if necessary.",proctor,1,1
216,Todd,,"Yeah, we can do that.",proctor,1,1
217,Maddow,,Mm-hmm (affirmative).,proctor,1,1
218,Todd,,"By the way, hi Rachel.",proctor,1,1
219,Maddow,,Hi Chuck.,proctor,1,1
220,Todd,,How you doing?,proctor,1,1
221,Maddow,,Good.,proctor,1,1
222,Todd,,"And we’ve got a lot of ground to cover. We’re going to be talking about guns and climate here up top a whole lot more in this hour. Obviously because of the size of the field, not every person will be able to weigh in on everything. But over the course of this next hour, we will hear from everyone. I promise, everybody. And to begin with, we’re going to go with guns.",proctor,1,1
223,Todd,,"And Senator Warren, I want to start with you. We are less than 50 miles from Parkland, Florida where 17 people were killed in a school shooting last year and where there has been significant activism on gun violence ever since. Many of you are calling for a restoration of an assault weapons ban, but even if implemented, there will still be hundreds of millions of guns in this country. Should there be a role for the federal [crosstalk 00:25:26] government",proctor,1,1
224,Speaker 18,,"Yeah, their mics are on.",proctor,1,1
225,Todd,,Everybody’s mics are on. I think we had a… I heard that too. That’s okay. I think we had a little mic issue in the back.,proctor,1,1
226,Maddow,,"Control room, we’ve got [crosstalk 00:25:35].",proctor,1,1
227,Todd,,"We have the… I think we heard… Yeah, we have the audience audio. All right.",proctor,1,1
228,Todd,,"So the question is simply this, [crosstalk 00:25:42] we’re taught… we’re from… I apologize. You guys didn’t get to hear this, the first part of the question. Obviously we’re not far from Parkland, Florida. A gun activism has become a big part of high school life up there in Broward County. Many of you are calling for tighter gun restriction. Some of you are calling for the restoration of the assault weapons ban. But even if it’s put in place, there are still going to be perhaps hundreds of millions of guns still on the streets. Is there a role for the federal government in order… to play in order to get these guns off the streets?",proctor,1,1
229,Speaker 19,,[inaudible 00:26:13],proctor,1,1
230,Speaker 20,,"That one’s got my binder, my [inaudible 00:26:14].",proctor,1,1
231,Todd,,We are…,proctor,1,1
232,Maddow,,What’s happening?,proctor,1,1
233,Todd,,We are hearing our colleagues’ audio. If the [crosstalk 00:26:22] control room could turn off the mics.,proctor,1,1
234,Guthrie,,There’s business [crosstalk 00:26:24].,proctor,1,1
235,Todd,,"Yeah. If the control can turn off the mics [crosstalk 00:26:28] of our previous moderators, we will…",proctor,1,1
236,Delaney,,I think it’s the prior moderators.,candidate,1,1
237,Maddow,,"You know, we prepared for everything.",proctor,1,1
238,Todd,,Yes. Guess what guys?,proctor,1,1
239,Maddow,,We did not prepare [crosstalk 00:26:36] for this.,proctor,1,1
240,Todd,,We are going to take a quick break. We’re going to get this technical situation fixed. We will be right back.,proctor,1,1
241,Todd,,"Never say never, but we will march forward here. And I will lean forward here a little bit. Senator Warren, we’re going to get to a gun question here. Parkland, Florida, it’s just north of here in Broward County. As you know, it has created a lot of teenage activism on the gun issue. It has inspired a lot of you to come out with more robust plans to deal with guns, including assault weapons ban, but even if you’re able to implement that, what do you do about the hundreds of millions of guns already out there and does the federal government have to play a role in dealing with it?",proctor,1,1
242,Warren,,"So in this period of time that I’ve been running for president, I’ve had more than 100 town halls. I’ve taken more than 2,000 unfiltered questions. And the single hardest question I’ve gotten… I got one from a little boy and I got one from a little girl. And that is to say, “When you’re president, how are you going to keep us safe?” That’s our responsibility as adults. Seven children will die today from gun violence, children and teenagers. And they won’t just die in mass shootings. They’ll die on sidewalks. They’ll die in playgrounds. They’ll die in people’s backyards. Gun violence is a national health emergency in this country and we need to treat it like that.",candidate,1,1
243,Warren,,"So what can we do? We can do the things that are sensible. We can do the universal background checks. We can ban the weapons of war. But we can also double down on the research and find out what really works, where it is that we can make the differences at the margins that will keep our children safe. We need to treat this like the virus that’s killing our children.",candidate,1,1
244,Todd,,Okay. Thank you Senator Warren. You didn’t address… Do you think the federal government needs to go and figure out a way to get the guns that are already out there?,proctor,1,1
245,Warren,,"So what I think we need to do is we need to treat it like a serious research problem which we have not done. You know, guns in the hands of a collector who’s had them for decades, who’s never fired… Who take safety seriously. That’s very different from guns that are sold and turned over quickly. We can’t treat this as an across the board problem. We have to treat it like a public health emergency. That means bring data to bear and it means make real change in this country, whether it’s politically popular or not.",candidate,1,1
246,Todd,,"Okay. Thank you Senator. Senator Booker, you have a program-",proctor,1,1
247,Warren,,We need to fight for our children.,candidate,1,1
248,Todd,,"Senator Booker, you have a federal government buy back program in your plan, how is that going to work?",proctor,1,1
249,Booker,,"Well, first of all, I want to say my colleague and I both have been hearing this on the campaign trail. But what’s even worse is I hear gunshots in my neighborhood. I think I’m the only. I hope I’m the only one on this panel here that had seven people shot in their neighborhood just last week. Someone I knew, Shahad Smith, was killed with an assault rifle at the top of my block last year. For millions of Americans, this is not a policy issue, this is an urgency. And for those who have not been directly effected, they’re tired of living in a country where their kids go to school to learn about reading, writing, and arithmetic, and how to deal with an active shooter in their school.",candidate,1,1
250,Booker,,"This is something that I’m tired of. And I’m tired of hearing people… All they have to offer is thoughts and prayers. In my faith, people say “Faith without works is dead.” So we will find a way. But the reason we have a problem right now is we’ve let the corporate gun lobby frame this debate. It is time that we have bold actions and a bold agenda. I will get that done as president of the United States because this is not about policy. This is personal.",candidate,1,1
251,Todd,,"Thank you, Senator Booker.",proctor,1,1
252,Maddow,,"Secretary Castro, I’d like to talk to you about something that Senator Booker just mentioned there, the idea of active shooter drills in schools. School shootings seem like an almost every day or every week occurrence now. They don’t make a complete news cycle anymore, no matter the death toll. As parents are so afraid as their kids go off to school that their kids will be caught up in something like this, next to nothing has changed in federal law that might affect the prevalence of school shootings. Is this a problem that is going to continue to get worse over our lifetimes, or is there something that you would do as president that you really think would turn it around?",proctor,1,1
253,Castro,,"Yeah, Rachel, I’m the dad of a 10 year old girl, Carina, who’s here tonight, and the worst thing is knowing that your child might be worried about what could happen at school, a place that’s supposed to be safe. The answer to your question is no, we don’t have to accept that. And I believe that on January 20, 2021 at 12:01 pm, we’re going to have a Democratic president, a Democratic House, and a Democratic Senate.",candidate,1,1
254,Castro,,"And the activists of Parkland, folks from moms to men who have risen up across the United States and inspired so many people. You know, we may not have seen yet legislative action, but we’re getting closer. The House took a vote. In the Senate, the question often is if the decision is between 60 votes, a filibuster, or passing common sense gun reform, I’m going to choose common sense gun reform. So I believe that we’re going to be able to get that done in 2021.",candidate,1,1
255,Maddow,,"Secretary Castro, thank you.",proctor,1,1
256,Ryan,,"Rachel, I have something to add to this briefly.",candidate,1,1
257,Maddow,,"We’ll give you 30 seconds for follow up on that question, on that answer from Secretary Castro, Congressman Ryan.",proctor,1,1
258,Ryan,,"You were talking about, in the schools, these kids are traumatized. I support all the gun reforms here. We need to start dealing with the trauma that our kids have. We need trauma based care in every school. We need social and emotional learning in every school. 90% of the shooters who do school shooting, come from the school they’re in and 73% of them feel shamed, traumatized, or bullied. We need to make sure that these kids feel connected to the school. That means a mental health counselor in every single school in the United States. We need to start playing offense. If our kids are so traumatized that they’re getting a gun and going into our schools, we’re doing something wrong too and we need reform around trauma based care.",candidate,1,1
259,Maddow,,"Congressman… Thank you, Congressman Ryan.",proctor,1,1
260,Todd,,"Congressman O’Rourke, you’re a Texan that’s campaigned… You campaigned all over the state in 2018 in the most conservative parts there, what do you tell a gun owner who may agree with you on everything else? Okay? But says, “You know what? The Democrats, if I vote for them in there, they’re going to take my gun away. And even though I agree with you on all these other issues…” How do you have that conversation?",proctor,1,1
261,O'Rourke,,"Here’s how we had that conversation in Texas. I shared with them what I learned from those students who survived the Santa Fe High School shooting. A young student named Bri, her friend Marcel who survived another shooting, the mother of a victim who lost her life, Rhonda Heart… They talked about universal background checks where you close every loophole. We know that they save lives. Talked about ending the sales of assault weapons into our communities. Those weapons of war were designed to kill people as effectively and as efficiently as possible. They should belong on the battlefield and not in our communities. Red flag laws, so if someone poses a danger to themselves or to someone else, they’re stopped before it’s too late.",candidate,1,1
262,O'Rourke,,"And what I found in each one of those 254 counties, is that Democrats, and Independents, and Republicans, gun owners and non-gun owners alike agreed. But this effort must be led by the young people that you referenced at the beginning of this issue. Those students from Marjory Stoneman Douglas led the charge here in Florida and they’ve been able to change those laws. They’re making our democracy work, ensuring that our values and our interests and our priorities are reflected in the laws that we pass.",candidate,1,1
263,Todd,,"Thank you, Congressman O’Rourke. Hang on. Let me give 30 seconds, Senator Klobuchar, the Iron Range, I’m curious. Gun confiscation, right? If the government is buying back, how do you not have that conversation?",proctor,1,1
264,Klobuchar,,"Well that’s not confiscation. You would give them the offer to buy back their gun. But I’ll say this. I look at these proposals and I say, “Does this hurt my Uncle Dick and his deer stand?” Coming from a proud hunting and fishing state. These proposals don’t do that. When I was a prosecutor, I supported the assault weapon ban. When I was in the senate, I saw those moms from Sandy Hook come and try to advocate for change and we all failed. And then, now these Parkland kids from Florida, they started literally a national shift. You know why? It’s just like with gay marriage. When kids talk to their parents and their grandparents, they say, “I don’t understand why we can’t put these sensible things in place.” They listen. And if we get bested by a bunch of 17 year olds, it’s the best thing that’ll ever happen. We need to get this done.",candidate,1,1
265,Todd,,"Senator, thank you. Senator, thank you.",proctor,1,1
266,Maddow,,"Senator Booker, let me go to you on another matter actually. Senator Mitch McConnell says that his most consequential achievement as Senate Majority Leader, was preventing President Obama from filling a Supreme Court seat. Having served with Republicans on the Judiciary Committee, do you believe they would confirm your court nominees?",proctor,1,1
267,Booker,,"I’m going to use 20 of my seconds just to say this. One thing we don’t all agree with when it comes to guns, and I think it’s common sense and over 70% of Americans agree with me… If you need a license to drive a car, you should need a license to buy and own a firearm. And not everybody in this field agrees with that, but in states like Connecticut that did that, they saw 40% drops in gun violence and 15% drops in suicides. We need to start having bold agendas on guns.",candidate,1,1
268,Booker,,"When it comes to the Supreme Court, very clearly we… I agree with my friend, Secretary Castro, we are going to get to 50 votes in the senate. This is a team sport. Whoever is our nominee needs to campaign in places like South Carolina because we can elect Jaime Harrison. They need to campaign in places like Iowa because we can win a Senate seat there. This is about getting us back to having 50 votes in the Senate and more so that we can not only balance the Supreme Court, but start to pass an aggressive agenda that frankly isn’t so aggressive because most of America agrees with the policy objectives of our party.",candidate,1,1
269,Maddow,,Mayor De Blasio-,proctor,1,1
270,Delaney,,We have to actually-,candidate,1,1
271,Maddow,,"Congressman Delaney, you’ll have some time in a moment on this issue.",proctor,1,1
272,Delaney,,This issue is related to-,candidate,1,1
273,Maddow,,"Mayor De Blasio, as an executive in the largest city in this country, you are used to saying what you want to have happen and having it happen. If you nominate a Supreme Court nominee as president of the United States and Mitch McConnell is still Senate Majority Leader, what makes you believe that he would allow you to make a nominee?",proctor,1,1
274,de Blasio,,"Rachel, I am chief executive of the nation’s largest city and I also want to just say something quick on the gun issue and come to your question. Look. I run the largest police force in America too and if we’re going to stop these shootings, if we’re going to get these guns off the street, we have to have a very different relationship between our police and our community. I also want to say that something that sets me apart from all my colleagues running in this race, and that is for the last 21 years I’ve been raising a black son in America. And I have had to have very very serious talks with my son Dante about how to protect himself on the streets of our city and all over this country, including how to deal with the fact that he has to take special caution because there have been too many tragedies between our young men and our police too. As we saw recently in Indiana.",candidate,1,1
275,de Blasio,,"So we need to have a different conversation in this country about guns, but also a different conversation about policing that brings police and community together. We’ve done that in New York City and we’ve driven down crime while we’ve done it.",candidate,1,1
276,de Blasio,,"But to your question about Mitch McConnell, there’s a political solution that we have to come to grips with. If the democratic party would stop acting like the party of the elites and be the party of working people again and go into states, including red states, to convince people we’re on their side, we could put pressure on their Senators to actually have to vote for the nominees that are put forward, decent [inaudible 00:18:56] deserve that right.",candidate,1,1
277,Maddow,,"Thank you, Mayor De Blasio.",proctor,1,1
278,Todd,,"Senator Warren… I’m going to get you… I will get you 30 seconds. I promise. Let me get this question. We’re trying… I know you guys… We got other issues we’re trying to get to, including a big one coming up in a minute, but Senator Warren, I want to continue on the Mitch McConnell thing because you have a lot of ambitious plans.",proctor,1,1
279,Warren,,I do.,candidate,1,1
280,Todd,,"Do you have a plan for that? Okay. We talked about the Supreme Court, do you have a plan to deal with Mitch McConnell if you don’t beat him in the Senate, if he’s still sitting there as the Senate Majority Leader, it’s very plausible you’d be elected president with a Republican Senate. Do you have a plan to deal with Mitch McConnell?",proctor,1,1
281,Warren,,"I do. We are a democracy. And the way a democracy is supposed to work is the will of the people matters. Now we for far too long have had a congress in Washington that has just completely dismissed what people care about across this country. They have made this country work much better for those who can make giant contributions, made it work better for those who hire armies of lobbyists and lawyers, and not made it work for the people. Well here’s how I see this happening. Number one, sure. I want to see us get a Democratic majority in the senate. But short of the Democratic majority in the senate, you better understand the fight still goes on. It starts in the White House and it means that everybody we energize in 2020 stays on the front lines come January 2021. We have to push from the outside, have leadership from the inside, and make this congress reflect the will of the people.",candidate,1,1
282,Todd,,"Okay. I’m going to get a couple of you in here. I’m going to get you a couple in here. 30 seconds. Congressman Delaney, you seem to believe you can do everything in a bipartisan manner. Mitch McConnell doesn’t operate that way. He operates differently. Why do you think he is going to conform to your style?",proctor,1,1
283,Delaney,,"I think we need to get things done. That’s why I believe we need to operate in a bipartisan manner. Listen, I’ll sign into law bills that come to the White House that are passed on a party line basis, absolutely. But all the big, transformative things we’ve ever done in this country’s history have happened when huge majorities of the American people get behind them, which is why we need real solutions not impossible promises. We need to put forth ideas that work, whether it’s on healthcare, creating universal healthcare so that every American gets healthcare, but not running on making private insurance illegal. The gun issue is related. The gun safety issue is related because I can’t tell you how many times I’ve been with folks in western Maryland and they’ve said to me, “You know, Democrats don’t do anything for us. Republicans don’t do anything for us. You fight all the time.” So they vote on that single issue. If we become the party of getting things done for the American people with real solutions no impossible promises-",candidate,1,1
284,Todd,,Okay. I understand. Senator Booker. Hang on. I promised 30-,proctor,1,1
285,Delaney,,We’ll be able to get all these things done.,candidate,1,1
286,Todd,,"Senator Booker, 30 seconds. How do you deal with Mitch… You’ve been in the senate. You can’t get bills on the floor right now with Mitch McConnell. Presidents can’t do it. Is President Booker going to get his bills on the floor with Senator McConnell?",proctor,1,1
287,Booker,,"You know, when I got to the United States Senate, going back to what De Blasio said, as an African American man in an African American dominated community, I knew one of the biggest issues was criminal justice reform. From police accountability to dealing with the fact that we have a nation that has more African Americans under criminal supervision than all the slaves in 1850. And when I got to the Senate, people told me we could not get a comprehensive criminal justice reform bill done. As my colleagues in the Senate know, I fought on that bill from the day I got to the Senate. Bill coalitions across the aisle and today we passed the First Step Act. It’s not as far as I want to go, but thousands of people will be liberated. I’ve taken on tough problems people said we cannot achieve and I’ve been able to get things accomplished.",candidate,1,1
288,Todd,,"Thank you, Senator Booker. Rachel’s got the next question.",proctor,1,1
289,Maddow,,"We are going to… Hold on. Governor, you’re going to be happy with where we go.",proctor,1,1
290,Todd,,Just give us a second.,proctor,1,1
291,Maddow,,"Governor Inslee, this next question is to you. You got me? You have staked your candidacy on the issue of climate change. It is first, second, and third priority for you. You’ve said it’s all the issues. Let’s get specific. We’re here in Miami, which is already experiencing serious flooding on sunny days as a result of sea level rise. Parts of Miami Beach and the Keys could be underwater in our lifetimes. Does your plan save Miami?",proctor,1,1
292,Inslee,,"Yes. First by taking away the filibuster from Mitch McConnell to start with. We have to do that. Look. Look. We are the first generation to feel the sting of climate change and we are the last that can do something about it. Our towns are burning, our fields are flooding, Miami is inundated. And we have to understand this is a climate crisis, an emergency. And it is our last chance in an administration, next one, to do something about it. And we need to do what I have done in my state. We’ve passed a 100% clean electrical grid bill. We now have a vision statement. My plan has been called the gold standard of putting people to work.",candidate,1,1
293,Inslee,,"But the most important thing on this, and the biggest decision for the American public is, who is going to make this the first priority? And I am the candidate and the only one who’s saying this has to be the top priority of the United States, the organizing principle to mobilize the United States, so that we can do what we’ve always done, lead the world and invent the future and put eight million people to work. That’s what we’re going to do.",candidate,1,1
294,Maddow,,"Governor, thank you. Governor-",proctor,1,1
295,Todd,,"Congressman O’Rourke, you’ve also put out a big climate change plan from your campaign. You want some big changes in a pretty short period of time, including switching to renewable energy, pushing to replace gas-powered cars in favor of electric ones. What’s your message to a voter who supports the overall goal of what you’re trying to do, but suddenly feels as if government’s telling them how to live and ordering them how to live? What is that balance like?",proctor,1,1
296,O'Rourke,,"I think you’ve got to bring everybody in to the decisions and the solutions to the challenges that we face. That’s why we’re traveling everywhere, listening to everyone. We were in Pacific Junction, a town that had never meaningly flooded before, just up against the Missouri River in Iowa, and every home in that community had flooded. There were farms just outside of Pacific Junction that were effectively lakes. Those farms already underwater in debt, their markets closed to them by a trade war under this administration, and now they don’t know what to do.",candidate,1,1
297,O'Rourke,,"We, in our administration, are going to fund resiliency in those communities, in Miami, in Houston, Texas, those places that are on the front lines of climate change today. We’re going to mobilize five trillion dollars in this economy over the next 10 years. We’re going to free ourselves from a dependence on fossil fuels. And we’re going to put farmers and ranchers in the driver’s seat. Renewable and sustainable agriculture to make sure that we capture more carbon out of the air and keep more of it in the soil. Paying farmers for the environmental services that they want to provide. If all of us does all that we can, then we’re going to be able to keep this planet from warming another two degrees Celsius and ensure that we match what this country can do and live up to our promise and our potential.",candidate,1,1
298,Todd,,"30 seconds. Secretary Castro, does who pays for the mitigation to climate, whether it’s building sea walls… For people that are perhaps living in places that they shouldn’t be living, is this a federal government issue that needs to do that? Do they have to move these people? What do you do about that where maybe they’re building a house someplace that isn’t safe, who pays to build that house? And how much should the government be bailing them out?",proctor,1,1
299,Castro,,"Well, I don’t think that that represents the vast majority of the issue. In fact, you know, my first visit after I announced my candidacy wasn’t to Iowa or New Hampshire, it was to San Juan, Puerto Rico because people should know that if I’m elected president, everybody will count. And you know, I’m one of the few candidates in this race with executive experience, with a track record of getting things done. When I was mayor of San Antonio, we moved our local public utility. We began to shift it from coal-fired plants to solar and other renewables and also created more than 800 jobs doing that. And when I was HUD Secretary, we worked on the National Disaster Resilience Competition to invest in communities that were trying to rebuild from natural disasters in a sustainable way. That’s the way that we’re going to help make sure that we’re all safer in the years to come and that we combat climate change. And if I’m elected president, the first thing that I would do, like Senator Klobuchar also said, is sign an executive order recommitting us to the Paris Climate Accord so that-",candidate,1,1
300,Todd,,"Congressman Ryan, I got a full question for you here which is simply this. A lot of the climate plans include pricing carbon, taxing carbon in some way. This type of proposal has been tried in a few places, whether it’s Washington state where voters voted it down. You’ve had the yellow vest movement. We had in Australia one party get rejected out of fear of the cost of climate change sort of being put on the backs of the consumer. If pricing carbon is just politically impossible, how do we pay for climate mitigation?",proctor,1,1
301,Ryan,,"Well, there’s a variety of different ways to pay. We talk about different ways of raising revenue and I think we’ve got to build our way out of this and grow our way out of this.",candidate,1,1
302,Ryan,,"But let me just talk real quick to the previous question about real politics. We could talk about climate. We could talk about guns. We could talk about all of these issues that we all care about. We have a perception problem with the Democratic party. We are not connecting to the working class people in the very states that I represent, in Ohio, in the industrial Midwest. We’ve lost all connection. We have got to change the center of gravity of the Democratic party from being coastal and elitist and Ivy league, which is the perception, to somebody from the forgotten communities that have been left behind for the last 30 years to get those workers back on our side so we can say we’re going to build electric vehicles. We’re going to build solar panels. But if you want to beat Mitch McConnell, this better be a working class party. If you want to go into Kentucky and take his rear end out and if you want to take Lindsey Graham out, you got to have blue collar party that can go into the textile communities in South Carolina. So all I’m saying here-",candidate,1,1
303,Todd,,"Thank you, Congressman Ryan.",proctor,1,1
304,Ryan,,All I’m saying here is-,candidate,1,1
305,Todd,,"Thank you, Congressman Ryan.",proctor,1,1
306,Ryan,,"So all I’m saying is here, if we don’t address that fundamental problem-",candidate,1,1
307,Todd,,I understand.,proctor,1,1
308,Ryan,,"With our connection to workers, white, black, brown, gay, straight, working class people-",candidate,1,1
309,Todd,,"Thank you, Congressman.",proctor,1,1
310,Ryan,,"None of this is going to get done, Chuck.",candidate,1,1
311,Delaney,,The question’s about carbon tax bill-,candidate,1,1
312,Todd,,"Thank you very much. We’re going to keep moving. Congressman Delaney, I’m going to get to you.",proctor,1,1
313,Delaney,,I introduced the only bipartisan carbon tax bill to Congress-,candidate,1,1
314,Todd,,30 seconds. Go.,proctor,1,1
315,Delaney,,"All right. All the economists agree that a carbon pricing mechanism works. You just have to do it right. You can’t put a price on carbon, raise energy prices, and not give the money back to the American people. My proposal, which is put a price on carbon, give a dividend back to the American people. It goes out one pocket, back in the other-",candidate,1,1
316,Todd,,"Thank you, Congressman.",proctor,1,1
317,Delaney,,I can get that passed my first year as president with a coalition of every Democrat in the Congress and the Republicans who live in coastal states.,candidate,1,1
318,Todd,,"Congressman, thank you.",proctor,1,1
319,Delaney,,"There’s republicans in Florida, they actually care about this issue.",candidate,1,1
320,Todd,,Thank you very much.,proctor,1,1
321,Delaney,,This has got to be our way forward if we’re actually serious about this issue.,candidate,1,1
322,Todd,,"Thank you. Congresswoman Gabbard, we’re going to move here. One of the first things you did after launching your campaign was to issue an apology to the LGBTQ community about your past stances and statements on gay rights. After the Trump administration’s rollbacks of civil rights protections for many in that community, why should voters in that community or voters that care about this issue in general trust you now?",proctor,1,1
323,Gabbard,,"Well let me say that there is no one in our government at any level who has the right to tell any American who they should be allowed to love or who they should be allowed to marry. My record in Congress for over six years shows my commitment to fighting for LGBTQ equality. I serve on the equality Caucus and recently voted for passage of the equality act. Maybe many people in this country can relate to the fact that I grew up in a socially conservative home, held views when I was very young that I no longer hold today. I’ve served with LGBTQ service members, both in training and deployed downrange. I know that they would give their life for me and I would give my life for them. It is this commitment that I’ll carry through as president of the United States, recognizing that there are still people who are facing discrimination in the workplace, still people who are unable to find a home for their families. It is this kind of discrimination that we need to address.",candidate,1,1
324,Todd,,"Thank you, Congresswoman Gabbard.",proctor,1,1
325,Booker,,But it’s not enough. It’s not enough. If I could add to this… It’s very important.,candidate,1,1
326,Todd,,30 seconds Senator.,proctor,1,1
327,Booker,,"This is not enough. Look. Civil rights is someplace to begin, but in the African American civil rights community, another place to focus on was to stop the lynching of African Americans. We do not talk enough about trans Americans, especially African American trans Americans and the incredibly high rates of murder right now. We don’t talk enough about how many children, about 30% of LGBTQ kids who do no go to school because of fear. It’s not enough just to be on the equality act. I’m an original co-sponsor. We need to have a president that will fight to protect LGBTQ Americans every single day from violence in our country.",candidate,1,1
328,Todd,,"Thank you, Senator Booker.",proctor,1,1
329,Gabbard,,"Senator Booker, Senator Booker-",candidate,1,1
330,Maddow,,"Senator Klobuchar, let me put this to you. On the issue of civil rights. For decades… On the issue of civil rights and demographics honestly, and politics. For decades the Democratic party has counted on African American voter turnout as step one to winning elections on a national level. Democrats are counting on the Latino community now and in the future in the same way. What have you done for black and Latino voters that should enthuse them about going to the polls for you if you’re your party’s nominee?",proctor,1,1
331,Klobuchar,,"My life and my career and my work in the Senate has been about economic opportunity. And to me, this means better childcare for everyone in this country. And when you want to have an economy that works, you need to have retirement that works, you need to have public schools that work. And you also need to make sure that those communities are able to get those jobs of the future, the STEM jobs. In fact, Donald Trump, one of the first bills that he signed of the 34 he signed where I was the lead Democrat… Okay, that’s a first up here… Was one that was about that, making sure minority community members could share in those jobs.",candidate,1,1
332,Klobuchar,,"So to me, this is about a few things. It’s about an African American woman that goes to a hospital in New Orleans, says her hands are swollen, and then doctor ignores her and her baby dies. It’s about the fact that African-American women make 61 cents for every dollar a white man makes.",candidate,1,1
333,Klobuchar,,"So in short, we need, to one… And I will do this in my first 100 days as president… We will work to make sure everyone can vote at this table, everyone can vote in this country and we will also go to the next step of criminal justice reform. Senator Booker and I worked on that First Step Act, but we should go to the Second Step Act, which is to help all our communities across our country.",candidate,1,1
334,Maddow,,"Senator, thank you very much. 30 second follow up to you, Secretary Castro. This is a 70% Latino city here in Miami. You are the only Latino Democrat who is running this year in the presidential race. Is that enough of an answer? What Senator Klobuchar is describing there, an economic justice agenda, is that enough to mobilize Latino voters to stand with the Democratic party in a big way?",proctor,1,1
335,Castro,,"Well, I also think that we have to recognize racial and social justice. You know, I was in Charleston not too long ago and I remembered that Dylann Roof went to the Mother Emmanuel AME church and he murdered nine people that were worshiping and then he was apprehended by police without incident. Well, but what about Eric Garner and Tamir Rice and Laquan McDonald and Sandra Bland and Pamela Turner and Antonio [inaudible 00:35:03]. I’m proud that I’m the only candidate so far that has put forward legislation that would reform our policing system in America and make sure that no matter the color of your skin is, that you’re treated the same, including Latinos who are mistreated too oftentimes by police.",candidate,1,1
336,Maddow,,"Secretary Castro, thank you.",proctor,1,1
337,Todd,,Let me go over to Lester Holt who’s got a question. I believe a viewer question.,proctor,1,1
338,Holt,,"And I’m over here, Chuck. Thanks. We asked voters across the country to submit their questions to the candidates. Let me read one now. This comes from John in New York who submitted this question. He asks, “Does the United States have a responsibility to protect in the case of genocide or crimes against humanity? Do we have a responsibility to intervene, to protect people threatened by their governments, even when atrocities do not affect American core interests?” I’d like to direct that question to Congressman O’Rourke.",proctor,1,1
339,O'Rourke,,"John, I appreciate the question. The answer is yes, but that action should always be undertaken with allies and partners and friends. When the United States presents a united front we have a much better chance of achieving our foreign policy aims and preventing the kind of genocide to which you refer, the kind of genocide that we saw in Rwanda, the kind of genocide we want to stop going forward. But unfortunately, under this administration, President Trump has alienated our allies and our friends and our alliances. He’s diminished our standing in the world and he’s made us weaker as a country. Less able to confront challenges, whether it’s Iran or North Korea or Vladimir Putin in Russia who attacked and invaded our democracy in 2016 and who President Trump has offered another invitation to do the same. He’s embraced strong men and dictators at the expense of the great democracies. As president, I will make sure that we live our values in our foreign policy. I will ensure that we strengthen those alliances and partnerships and friendships and meet any challenge that we face together. That makes America stronger.",candidate,1,1
340,Maddow,,"Congressman O’Rourke, thank you.",proctor,1,1
